AA;MM;DD;HH;NM;MM;MA;Procedencia
2024;1;1;0;191.2;-9999.9;181.2;1
2024;1;1;1;198.6;12;186.6;1
2024;1;1;2;235.1;13.4;221.7;1
2024;1;1;3;290.2;13.1;277.1;1
2024;1;1;4;351;12.2;338.8;1
2024;1;1;5;401.8;10.7;391.1;1
2024;1;1;6;430.2;9.4;420.8;1
2024;1;1;7;431.9;9.5;422.4;1
2024;1;1;8;407.2;10.3;396.9;1
2024;1;1;9;359;9.5;349.5;1
2024;1;1;10;296.7;7.3;289.4;1
2024;1;1;11;238.2;7.5;230.7;1
2024;1;1;12;197.5;7.8;189.7;1
2024;1;1;13;184.9;7.7;177.2;1
2024;1;1;14;204.3;9.8;194.5;1
2024;1;1;15;246.3;10.4;235.9;1
2024;1;1;16;299.6;9.3;290.3;1
2024;1;1;17;352.6;9.5;343.1;1
2024;1;1;18;389.3;9;380.3;1
2024;1;1;19;400.6;7.4;393.2;1
2024;1;1;20;387.5;7.1;380.4;1
2024;1;1;21;353.9;8.4;345.5;1
2024;1;1;22;304.4;8.1;296.3;1
2024;1;1;23;252.2;7.3;244.9;1
2024;1;2;0;213.9;7.6;206.3;1
2024;1;2;1;199.8;7.5;192.3;1
2024;1;2;2;214.5;8.2;206.3;1
2024;1;2;3;254.3;9.7;244.6;1
2024;1;2;4;308;10.7;297.3;1
2024;1;2;5;362.4;11.4;351;1
2024;1;2;6;402.3;10.5;391.8;1
2024;1;2;7;420;9.9;410.1;1
2024;1;2;8;416.3;13;403.3;1
2024;1;2;9;388;14.6;373.4;1
2024;1;2;10;337.1;10.9;326.2;1
2024;1;2;11;281.6;10;271.6;1
2024;1;2;12;232.2;8.6;223.6;1
2024;1;2;13;200.8;5.8;195;1
2024;1;2;14;199.7;7.3;192.4;1
2024;1;2;15;225.6;10.8;214.8;1
2024;1;2;16;268.8;12.9;255.9;1
2024;1;2;17;318.6;13.8;304.8;1
2024;1;2;18;362.8;14.5;348.3;1
2024;1;2;19;389;13.7;375.3;1
2024;1;2;20;394.1;13.7;380.4;1
2024;1;2;21;379.8;16.4;363.4;1
2024;1;2;22;346.1;17.7;328.4;1
2024;1;2;23;299.8;16.7;283.1;1
2024;1;3;0;255.7;15.8;239.9;1
2024;1;3;1;227.7;16.4;211.3;1
2024;1;3;2;222.5;17;205.5;1
2024;1;3;3;241.4;17.6;223.8;1
2024;1;3;4;279.9;18.5;261.4;1
2024;1;3;5;327.7;18.7;309;1
2024;1;3;6;372.5;18.4;354.1;1
2024;1;3;7;402.9;17.6;385.3;1
2024;1;3;8;412.5;16.6;395.9;1
2024;1;3;9;401.7;17;384.7;1
2024;1;3;10;371.3;17.4;353.9;1
2024;1;3;11;325.6;16;309.6;1
2024;1;3;12;276.9;15;261.9;1
